TropicosName,Name_in_tree,Voucher ,Paramo,ObservedMicrohabitat,Altitude,LPF_1,LPF_2,LPF_3,LPF_4,LPF_mean,Pina_1,Pina_2,Pina_3,Pina_mean
Jamesonia imbricata,Jamesonia_imbricata_Mur,JM1(jose),1,0,3770,100,95,80,NA,91.66666667,0.2,0.2,NA,0.2
Jamesonia imbricata,Jamesonia_imbricata_329,PS 329,1,0,3663,50,80,69,NA,66.33333333,0.4,0.5,NA,0.45
Jamesonia imbricata,Jamesonia_imbricata_340,PS 340,1,0,2860,75,170,89,NA,111.3333333,0.32,0.32,NA,0.213333333
Jamesonia imbricata,Jamesonia_imbricata_1,Pedro1,1,0,3500,150,160,NA,NA,155,0.3,0.3,NA,0.3
Jamesonia imbricata,Jamesonia_imbricata_1911,DS1912,1,0,3450,103,145,120,NA,122.6666667,0.2,0.2,0.2,0.2
Jamesonia imbricata,Jamesonia_imbricata_252,PS 252,1,0,3200,68,85,NA,NA,76.5,0.5,0.3,NA,0.4
Jamesonia laxa,Jamesonia_laxa_348,PS 348,1,0,2901,83,86,86,NA,85,0.33,0.3,0.3,0.31
Jamesonia mathewsii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jamesonia osteniana,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jamesonia peruviana,Jamesonia_peruviana_2925,2925,1,0,3575,110,112,NA,NA,111,0.17,0.15,NA,0.16
Jamesonia peruviana,Jamesonia_peruviana_7983,7983,1,0,3400,225,230,NA,NA,227.5,0.2,0.18,NA,0.19
Jamesonia peruviana,Jamesonia_peruviana_4069,BL 4069,1,0,NA,NA,NA,NA,NA,NA,0.2,0.2,NA,0.2
Jamesonia peruviana,Jamesonia_peruviana_2048,JG2048,1,0,NA,70,65,NA,NA,67.5,0.17,0.15,NA,0.16
Jamesonia pulchra,Jamesonia_pulchra_295,PS 295,1,0,3523,120,130,120,NA,123.3333333,0.27,0.3,NA,0.285
Jamesonia pulchra,Jamesonia_pulchra_306,PS 306,1,0,3746,75,70,100,122,91.75,0.35,0.3,0.3,0.3
Jamesonia robusta,Jamesonia_robusta_238,PS 238',1,0,3250,38,92,82,52,66,0.2,0.25,0.22,0.223333333
Jamesonia rotundifolia,Jamesonia_rotundifolia_2,Pedro2,1,0,3500,115,59,90,NA,88,0.4,0.4,0.35,0.383333333
Jamesonia rotundifolia,Jamesonia_rotundifolia_315,PS 315 ,1,0,3505,63,63,75,NA,67,0.65,0.7,0.7,0.683333333
Jamesonia rotundifolia,Jamesonia_rotundifolia_263,PS 263,1,0,2760,70,85,90,NA,81.66666667,0.42,0.45,0.5,0.456666667
Jamesonia scalaris,Jamesonia scalaris,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jamesonia scammaniae,Jamesonia_scammanae_11794,KS11794,1,0,3450,103,117,110,NA,110,0.2,0.2,NA,0.2
Jamesonia scammaniae,Jamesonia_scammanae_L301,DL301,1,0,3400,150,145,NA,NA,147.5,0.15,0.1,NA,0.125
Jamesonia scammaniae,Jamesonia_scammanae_SB301,PS 301,1,0,3246,180,100,NA,NA,93.33333333,0.3,0.3,NA,0.3
Jamesonia vellea,Eriosorus velleus,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jamesonia verticalis,Jamesonia_verticalis_269,PS 269,1,0,2956,65,60,75,NA,66.66666667,1.2,1.25,1.2,1.216666667
